emoji,keywords_ka,keywords_en
🗣️,გიდი|პოლიტიკა|საუბარი|ყვირილი|ხმა|გასაუბრება|მოლაპარაკე თავი|პარტია|პასუხი|ჭორაობა|ჭორი|ბაბუის მოყოლილი|მეგაფონი|სემიჩკა|ფექთსი|ყავა და ჭორი|ხმამაღლა|ენა|ჩურჩული|ლაპარაკი|აღსარება|ახალი ამბები|გადაცემა|გამოსვლა|თამადა|ლექსის წაკითხვა|ლიდერი|ტრიბუნა|ჰეითერი|მოსაუბრე თავი,speaking head|informer|interpreter|snitch|translator|preacher|head|interpreters|shouting|talking|translators|voice|screaming|shout|speaking|lecture|leader|confessing|conversing|critics|debating|english|gossip|imo|language|linguists|rumors|speech|tbh|throat|ventriloquist|yell|yelling|talk|singers|admitting|advocates|counselor|counselors|lecturers|politicians|pundits|therapist|preachers|gaslight|liars|politician|scream|shriek|whispering|fr|philologists|stories|face|microphone|vocalist|knowing|foreigners|no cap|sing|word|speak|singer|singing|whisper|yarns|silhouette|loud|chat|commentators|pastors|asking|choirs|denying|dumb|funny|highkey|humorous|hyped|jokes|know|leading|mute|puns|remember|witty
👤,გამგზავნი|მიმღები|ვინ|ვიღაც|ის|კლიენტი|სილუეტი|პროფილი|მომხმარებელი|ადამიანი|უცნობი|ექაუნთი|მე|პატიმარი|შენ|იუზერი|ფოლოვერი|ადამიანის სილუეტი|ანონიმური,bust in silhouette|shadow|user|head|moff|oomf|shadows|shadowy|strangers|profile|silhouette|person|follower|rumors|bust|anonymous|reflection|mysterious
👥,გუნდი|მაყურებელი|ანსამბლი|გამომწერი|თათბირი|თქვენ|თქვენი|ისინი|კლიენტი|მათი|მგზავრები|მეგობრები|მომხმარებელი|სილუეტები|სკვადი|სტუმარი|ტყუპები|ფოლოვერი|ყველა|ჩვენ|ჩვენი|ხალხი|ჯგუფი|მეგობარი|მეგობრობა|პარტია|პარტნიორი|საუბარი მეგობართან|ქურდი|შეხვედრა|ეკიპაჟი|ნათესავი|სოციალური ქსელი|პროფილები|ადამიანი|დემონსტრაცია|მიტინგი|საუბარი|ჯგუფელი|ექაუნთები|ადამიანების სილუეტები,busts in silhouette|partner|partners|citizens|gathering|team|staff|colleagues|conference|coworkers|meeting|associates|coalitions|users|followers|group|friends|acquaintances|clones|crews|crowded|delegates|disciples|discussing|doubles|gangs|groups|pair|plebeians|societies|sociologist|squad|syndicates|teammates|teams|colleague|coworker|gossip|partnerships|associations|chat|employees|chatting|following|mutual|mutuals|seminar|twin|workshop|companies|associate|board member|conversing|elders|shadows|talking|whispering|classmates|clients|gatherers|joining|schoolmates|silhouettes|flatmates|representatives|denizens|manager|managers|managing|people|beings|housemates|packed|playmates|plaza|residents|roommates|sharing|shipmates|bust|silhouette
🫂,ჩახუტება|მეგობრები|თანაგრძნობა|მხარდაჭერა|სითბო|სიყვარული|მადლობა|ჩახუტებული ადამიანები,people hugging|hug|hugging|caring|support|empathy|embrace|together|goodbye|holding|hello|love|miss you|squeezing|comfort|thanks|care
👣,ფეხით|ბილიკი|მეკვლე|ნაბიჯები|ფეხები|ნაკვალევი|ფეხის ნაბიჯი|გიგანტი|კვალი|პედიკიური|ფეხი|ფეხით სიარული|ფეხის ნაბიჯები|ფეხის კვალი,footprints|followers|track|feet|footprint|following|impressions|traces|tracking|trailing|prints|steps|tracing|path|tracks|disciples|clothing|walk|print
🐵,მაიმუნი|მაიმუნის თავი|სასაცილო|საყვარელი|ბანანი|სულელი|მაიმუნის სახე|ცხოველი,monkey face|monkey|animal|silly|banana|funny|jungle|macaque|cute|face|playful|ape
🐒,მაიმუნი|შიმპანზე|ცხოველი|ჯუნგლები|ზოოპარკის გალია|ცელქი|მაიმუნი მთლიანი|მაიმუნობა,monkey|jungle|banana|baboon|bush baby|gibbon|lemur|loris|macaque|mandrill|tarsier|animal|swinging|rainforest|hanging|ape|chimpanzee|playful|cloud forest|gorilla|tail|vine|climb
🦍,გორილა|შემპანზე|ცხოველი|ძალა|კინგ კონგი|ჰარამბე|ძლიერი|გიგანტი|დიდი მაიმუნი,gorilla|chimpanzee|stocky|strong|ape|stout|animal|beast|beastly|beasts|dominating|hairy|origins|baboon|mandrill|harambe|monkey|muscular|robust|giga
🦧,ორანგუტანი|მაიმუნი|ორანგუტანგი|შემპანზე|ჯუნგლები,orangutan|ape|gorilla|animal|gibbon|hairy|monkey
🐶,ძაღლი|ლეკვი|ვეტერინარი|ცხოველი|ძაღლის თავი|შინაური ცხოველი|საყვარელი|ჩემი ძაღლი|ძაღლის სახე,dog face|vet|dog|puppy|pet|animal|companion|animals|breeders|cerberus|pets|veterinarian|floppy|cute|companions|shelters|chewing|biting|buddies|buddy|licking|rescuing|scraps|bark|accompanying|darling|darlings|face|doggo
🐕,ძაღლი|ნადირობა|ცხოველი|ეზო|მეგობარი|მონადირე|ძაღლი მთლიანი|გასეირნება|შინაური ცხოველი,dog|guards|chasing|watchmen|pet|bounding|dingo|dog breed|handlers|tail|hunters|hunting|pant|animal|loyalty|guarding|husky|pats|bark|balloon animal|prairie dog|puppy|yard|canine|bringing|gamekeepers|mammal|mammals|owners|park|dog2|harness maker|shepherds|walk|diggers|keeping|lawn|sleuths|trailing|trainers|training|doggo
🦮,გამყოლი ძაღლი|უსინათლოს ძაღლი|უსინათლო ძაღლი|უსინათლოების|ბრმის მეგზური|დამხმარე,guide dog|dog|accessibility|blind|assistive|guide|service dog|dog breed|pet
🐕‍🦺,სამსახურებრივი ძაღლი|მომსახურე ძაღლი|დამხმარე ძაღლი|ჟილეტი,service dog|assistance|blind|pet|working dog|accessibility|helper|dog|help|service
🐩,ძაღლი|პუდელი|მოდური|ფუფუნება|სუფთა ჯიში,poodle|dog|dog breed|fancy|pet|limping|cute
🐺,მგელი|მაქცია|ცხოველი|მარტოხელა მგელი|აუუუ|ბასი|გარეული,wolf|wild|outcasts|werewolf|tundra|coyote|husky|jackal|tasmanian tiger|beast|animal|canine|sigma|savage|packs|wolverine|alpha|beasts|totems|fox|loner|face|howl|badass
🦊,მელა|ცბიერი|ცხოველი|ეშმაკუნა|მელია|ეშმაკური|ტყე,fox|clever|furrier|fables|hyena|pelts|red panda|trapper|trappers|animal|hides|scavengers|furriers|furs|snatching|cunning|flying fox|wild|fox face|sly|face|cute
🦝,ენოტი|ცხოველი|ნაგვის პანდა|ნაგავი|ქურდი|საყვარელი,raccoon|animal|trash panda|bandit|cute|curious|thief|scavengers|sly|wild
🐱,კატა|კნუტი|საყვარელი|კატის თავი|შინაური ცხოველი|ცხოველი|მიაუ|კატის სახე|ფისო,cat face|vet|cat|kitten|pet|soft|roof|animal|animals|breeders|pets|cute|veterinarian|meow|catfish|hoarding|companion|companions|fluffy|shelters|buddies|buddy|rescuing|scraps|face|kitty
🐈,კატა|შინაური ცხოველი|ვალერიანი|კატა მთლიანი|ალერგია|ფისო,cat|ginger|pet|cat breed|tail|meow|reincarnation|kitten|darling|darlings|feline|pats|cat2|chewing|animal|fat|licking|nap|snug
🐈‍⬛,შავი კატა|ჰელოუინი|იღბალი|უიღბლობა|კაი ტიპი,black cat|witch|cat|chasing|lynx|panther|wildcat|halloween|alley|cat breed|luck|witches|goth|black|spooky|bad luck|unlucky|pet
🦁,ლომი|ზოოპარკი|ძლიერი|ზოოპარკის გალია|მეფე|ცხოველი|ზოდიაქო|სიამაყე|ცხოველები|ასლანი|გერბი|ხორცისმჭამელი|ჯიგარი|მტაცებელი,lion|savanna|keepers|jungle|wild|zoo|king|animal|leo|rangers|chimera|griffin|mammal|mammals|mascots|savage|sphinxes|veldt|zoologist|zoologists|proud|wardens|astrologers|strong|allegories|beast|beastly|beasts|dominating|fierce|hairy|claw|fox|animals|fables|sanctuaries|taxidermist|tufts|warthog|face|lion face|warriors|noble|cat breed|kingdoms|sphinx|kings|fleeing|zodiac|brave
🐯,ვეფხვი|ვეფხვის თავი|ცხოველი|ვეფხისტყაოსანი|ძალა|ვეფხვის სახე|მტაცებელი,tiger face|tiger|jungle|animal|fierce|saber-toothed cat|stripes|savage|zoo|zoologists|conservationists|mascots|tiger shark|wild|animals|cat|face|scary
🐅,ვეფხვი|აზია|ველური|ვეფხვი მთლიანი|მტაცებელი|ჯუნგლები,tiger|animal|safari|stripes|wild|skins|beast|tiger2|cat
🐆,ლეოპარდი|ავაზა|სწრაფი|გეპარდი|კოპლები|ვეფხვი|ლომი|მტაცებელი,leopard|wild|spots|cheetah|cougar|jagaur|puma|animal|lion|tiger|fast|veldt|fierce|leaping|cat|spicy|hides|savage|panther|marks|skins
🐴,ცხენი|გიორგობა|ცხენის თავი|ცხოველი|გიორგი სააკაძე|რაინდი|ცხენის სახე|ფერია,horse face|farrier|horse|pony|foal|mare|pegasus|stallion|animal|chaparral|neigh|derp|face|ride
🫎,ლოსი|ტყის ცხოველი|რქები|ირემი,moose|animal|caribou|forest|antler|canada|deer|antlers|horns|elk|mammal
🫏,ვირი|ცხოველი|ჯიუტი|სულელი|ჯორი,donkey|mule|ass|animal|stubborn|burro|mammal|fool
🐎,ცხენი|სირბილი|ჭენება|თუშეთი|დოღი|ცხენი სირბილი|მინდორი|ჯირითი|რბოლა,horse|saddler|harness maker|carter|wagoner|drover|squire|coachman|conqueror|coachmen|riders|stableboys|steppe|stallion|grooms|equestrian|plain|carriage maker|hoof|whipmaker|drovers|ranch|ranchers|knight|centaur|cowboy|cowgirl|fast|bandits|breeders|knights|outlaws|pasture|racing|gallop|cartwright|cartwrights|mare|marshal|pampa|steppes|wainwright|racehorse|raiders|speed|race|rancher|squires|animal|aristocrats|blacksmith|blacksmiths|conquerors|mammal|mammals|ride
🦄,უნიკორნი|ცალრქა|იუნიკორნი|ზღაპარი|ოცნება|ჯადოსნური|იშვიათად|მარტორქა|ზღაპრული|ცისარტყელა|ერთრქა|საოცრება|გეი,unicorn|rainbow|horse|rarely|magic|rare|fantasy|pony|pegasus|myths|narwhal|gay|horn|face|cute|dream|dreaming
🦓,ზებრა|გადასასვლელი|აფრიკა|ზოლები|ზოლიანი,zebra|stripes|quagga|savanna|animal|okapi|elephant|giraffe|safari|africa|veldt|stripe|wild
🦌,ირემი|ნადირობა|შველი|ტყე|შობა|ბემბი|რქები,deer|hunting|forest|gamekeeper|hunters|tundra|hunter|antelope|antler|dear|elk|gazelle|impala|oryx|reindeer|springbok|taxidermist|venison|gamekeepers|poachers|buck|christmas|nature|glade|glen|refuges|bambi|wilderness|woods|caribou|hunt|animal|antlers
🦬,ბიზონი|ყანწი|ხარი|კამეჩი|ველური,bison|buffalo|animal|wild|herd|strong|wisent
🐮,ძროხა|ხბო|ძროხის თავი|ცხოველი|კოროვა|რძე|ძროხის სახე,cow face|cowherd|cow|milk|calf|heifer|veal|farm|animal|face|moo
🐂,ხარი|კურო|ყანწი|ზოდიაქო|ძალიანი|ძროხა|მუშა|ფერმა,ox|bull|minotaur|steer|yak|taurus|horoscope|hoof|animal|bull shark|muscular|strength|cowboy|strong|zodiac|farm
🐃,კამეჩი|კამეჩის ყველი|წყლის ხარი|კურო|წყლის კამეჩი|ხარი|ცხოველი,water buffalo|buffalo|gnu|wildebeest|animal|asia|farm|strong|water|wild
🐄,ძროხა|სოფელი|რძე|ფერმა|საძოვარი|ნატურალური რძე|ხბო|ძროხა მთლიანი|მწვანე მდელო,cow|drover|herder|cowherd|pasture|farm|farmers|prairie|cowherds|drovers|herdsmen|milk|barn|heifer|rancher|homesteaders|pastoralists|ranch|ranchers|bartering|lowlands|animal|breeders|cowgirl|plowman|cow2|field|hides|meadow
🐷,ღორი|ყულაბა|ჭუჭყიანი|გოჭი|ეკონომია|ღორის თავი|ცხოველი|ღორობა|ბევრი ჭამა|ღორის სახე,pig face|swineherd|pig|mud|farm|fat|dirty|muck|piggy bank|swineherds|animal|farmers|funny|savings|cute|pink|beastly|ham|pork|oink|bacon|chubby|snoring|face|greedy|food
🐖,ღორი|მსუქანი|მეურნეობა|ხორცი|სოფელი|გოჭი|ღორი მთლიანი|ფერმა|ცხოველი,pig|swineherd|tapir|saving|sow|swineherds|pork|farm|animal|pig2|hog|ham|bacon
🐗,გარეული ღორი|ტახი|ტყე|მტაცებელი,boar|tapir|peccary|warthog|wild pig|pig|animal|forest|wild boar|wild|bristles|hog|beast|beastly|beasts|savage
🐽,ღორის დინგი|დინგი|ღორი|ღორის ცხვირი|ცხვირი,pig nose|snout|pig|funny|oink|nose|face
🐏,ვერძი|ცხვარი|ზოდიაქო|რქები,ram|herder|shepherd|sheep|aries|horn|pasture|animal|male|highlands|moor|horns|zodiac
🐑,ცხვარი|თუშეთი|ცხვრის ფარა|მატყლი|ბატკანი|მწყემსი|ჩაქაფული|საძოვარი|გუდის ყველი|სათნო|ბამბა|მთიანეთი|ფერმა,ewe|shepherd|sheep|lamb|heath|moor|downs|gentle|mutton|pastoralists|shearer|shepherds|wools|wooly|herdsmen|pasture|crofters|wool|fells|wolds|farm|soft|fluffy|hardy|meadow|animal|carder|comber|dykes|parables|cute|fuzzy|female|flock
🐐,თხა|გოათი|თხის რქა|ციკანი|საუკეთესო|გოუტ|გუდა|მესი|რონალდო|მთა|ფერმა|ცხოველი,goat|goatherd|billy goat|goated|goatherds|kid|sacrifices|capricorn|greatest of all time|animal|farm|chimera|messi|hoof|legend|ronaldo|giga|zodiac|horns
🐪,აქლემი|უდაბნო|ოთხშაბათი|ერთკუზიანი აქლემი|ქვიშის ქარიშხალი|ერთი კუზი,camel|desert|dromedary|sand|dunes|sandstorm|sandstorms|pyramids|merchant|dune|journeying|sahara|dromedary camel|hump|dust storm|dust storms|trekking|animal
🐫,აქლემი|ორკუზიანი აქლემი|უდაბნო|ოთხშაბათი|პირამიდა|ცხოველი,two-hump camel|bactrian|desert|pyramids|sphinx|camel|nomad|two hump camel|bactrian camel|animal|hump|humps
🦙,ლამა|ალპაკა|ცხოველი,llama|alpaca|lama|wool|animal|guanaco|cute|vicuña|spit
🦒,ჟირაფი|მაღალი|ზოოპარკი|გამხდარი|აფრიკა|სპილო|გრძელი|ზოოპარკის გალია|გრძელი კისერი,giraffe|savanna|okapi|zoo|tall|elephant|zebra|safari|zoologists|animal|skinny|africa|spots|long neck
🐘,სპილო|დიდი|აფრიკა|ინდოეთი|მეხსიერება|მძიმე|დიდი ცხოველი|ხორთუმი,elephant|savanna|huge|giraffe|trunks|safari|enormous|gigantic|heavy|mammal|mammals|zebra|animal|anteater|elephant seal|mastodon|india|immense|zoo|trunk|big
🦣,მამონტი|ისტორიული|ყინულის ხანა|ყინვა|პრეისტორიული|სპილო,mammoth|mastodon|woolly mammoth|extinct|prehistoric|ice age|extinction|fossil|large|ancient|tusk|elephant|woolly
🦏,მარტორქა|ცხოველი|საშიში|რქა|აფრიკა,rhinoceros|rhino|horn|stocky|animal|safari|wild|armored
🦛,ბეჰემოთი|ჰიპოპოტამი|ბეჰემოტი|წყლის ცხოველი|დიდი,hippopotamus|hippo|river|animal|wild|fat|heavy|water
🐭,თაგვი|თაგვის თავი|პატარა|მულტფილმი|საყვარელი|თაგვის სახე|მღრღნელი,mouse face|mouse|cheese|chinchilla|rodent|cartoons|animal|hamster|fables|cute|face
🐁,თეთრი თაგვი|თაგვი|ლაბორატორია|მღრღნელი|პატარა,mouse|rodent|white|animal|white mouse|lab|mouse2|rat|pet
🐀,ვირთხა|ტოქსიკური|ნაგავი|მოღალატე|მავნებელი|მღრღნელი|ცხოველი,rat|snitch|mole|opossum|armadillo|bandicoot|gopher|groundhog|marmot|pika|possum|prairie dog|rodent|animal|mouse|sus|street|shady|gerbil|garbage|pest
🐹,ზაზუნა|ზღვის გოჭი|ჰამსტერი|საყვარელი|ხომიაკი|მსუქანა|შინაური ცხოველი|პატარა,hamster|pet|mouse|gerbil|guinea pig|quokka|cute|chubby|pets|animal|hamster face|plump|face
🐰,კურდღელი|აღდგომა|ბოცვრის თავი|სააღდგომო|საყვარელი|ბაჭია|ფლეიბოი|კურდღლის სახე,rabbit face|rabbit|bunny|easter|floppy|illusionists|magicians|cute|pet|carrot|chinchilla|pika|bunny face|pets|face|animal
🐇,კურდღელი|ბოცვერი|სტაფილო|ცხოველი|ფოკუსი|კურდღელი მთლიანი|ბაჭია,rabbit|bunny|hare|hopping|nature|animal|bounding|carrot|easter|rabbit2|speed|pet|fast
🐿️,ციყვი|თხილი|ჩიპენდეილი|ჩიპი და დეილი|მღრღნელი,chipmunk|squirrel|sugar glider|nut|forest|woodland|animal
🦫,თახვი|კაშხალი|კანადა|მღრღნელი,beaver|dams|dam|wood|brawny|animal|canada|diggers|wombat|builder|gamekeepers|build
🦔,ზღარბი|ეკლიანი|საყვარელი|სონიკი|ეკლები|ცხოველი,hedgehog|echidna|porcupine|spiky|cute|animal|needles|sonic|spiny|spikes
🦇,ღამურა|ბეტმენი|გამოქვაბული|ჰელოუინი|კორონა|ვამპირი|ბნელი,bat|vampire|batman|spooky|flying fox|fruit bat|vampire bat|denizens|halloween|dracula|cave|covid|scary|animal
🐻,დათვი|დათვის თავი|ცხოველი|ტედი|დიდი|ჩახუტება|დათვის სახე|ტყე,bear|grizzly|brown bear|teddy|mascots|trappers|forest|pelts|animal|black bear|taiga|hides|totems|bear face|boreal forest|hug|furriers|furs|heavy|face|wild
🐻‍❄️,პოლარული დათვი|დათვი|თეთრი დათვი|ყინული,polar bear|arctic|black bear|bear|white|ice|cold|north pole
🐨,კოალა|ავსტრალია|ევკალიპტი|ზარმაცი|საყვარელი,koala|wombat|bear|cuscus|koala bear|australia|animal|cute|face|lazy|animals|inhabitants|panda|marsupial
🐼,პანდა|ჩინეთი|ბამბუკი|ზოოპარკი|საყვარელი|ზარმაცი|დათვი,panda|bear|panda bear|panda face|bamboo|zoo|conservationists|cute|animal|red panda|bamboos|china|chubby|chill|lazy|face
🦥,ნელი|ზარმაცა|მეზარება|ზარმაცი|ზოოტოპია|ზარმაცუნა|მე|ცხოველი,sloth|lazy|slow|animal|chill|me|sleepy
🦦,წავი|წყალი|წყლის ცხოველი|საყვარელი,otter|platypus|ferret|mink|river otter|sea otter|weasel|cute|river|water|playful|swim|fishing|animal
🦨,სკუნსი|სუნიანი|სუნი|ფუი|შავ-თეთრი,skunk|stink|smelly|animal|smell|stinky|fart|gross
🦘,ხტომა|კენგურუ|ნახტომი|ავსტრალია,kangaroo|jump|jumping|pouches|wallaby|bounding|bush|leaping|springy|australia|skipping|hopping|wombat|joey|animal|bouncy|boxing|marsupial
🦡,მაჩვი|ჰაფლპაფი|ცხოველი|ტყე,badger|wolverine|honey badger|forest|animal|ferret|mink|weasel|wild|pester|honey
🐾,ძაღლი|კნუტი|ლეკვი|კატა|თათების კვალი|ცხოველები|კვალი|ცხოველი|ნაბიჯები|თათები|ნაკვალევი,paw prints|kitten|puppy|cat|paw|panda|dog|claw|prints|footsteps|track|paws|pet|tracks|wildcat|feet|elephant|footprints|giraffe|zebra|hamster|hyena|pets|lion|tiger|animal|breeders|zoologists|print
🦃,ინდაური|მადლიერების დღე|ფრინველი,turkey|thanksgiving|bird|stuffed|feast|plump|holiday|pilgrims|meat
🐔,ქათამი|სოფელი|კოხი|მეურნეობა|სოფლის კვერცხი|ფერმა|კოპალა|სულელი|ფრინველი,chicken|poultryman|poulterer|poultry|poultry farmer|farm|hen|bird|farmers|egg|cluck
🐓,მამალი|ქათამი|დილა|ღრიალი|მაღვიძარა|გაღვიძება|ფერმა,rooster|chicken|cock|morning|bird|farm|barn
🐣,წიწილა|აღდგომა|ახლადგამოჩეკილი წიწილა|ახლადგამოჩეკილი|ბარტყი|საყვარელი|წიწილა კვერცხში|ახალი|ახალგამოჩეკილი წიწილა|კვერცხი|ჩიტი,hatching chick|chicken|baby|rebirth|egg|easter|hatching|birth|bird|baby bird|cute|chick
🐤,წიწილა|ბარტყი|საყვარელი|ჩიტი|ყვითელი|პატარა ჩიტი,baby chick|bird|birds|cute|chicken|baby|yellow|chick
🐥,წიწილა|წიწილა წინიდან|წინა ხედით ბარტყი|საყვარელი|წიწილა წინ|ჩიტი,front-facing baby chick|bird|fledged chick|cute|baby chick front|baby chick|hatched chick|yellow|baby|standing chick|chicken|front facing baby chick|chick
🐦,ფრინველი|ბეღურა|მერცხალი|მტრედი|ყვავი|ჩიტი|ტვიტერი|ბულბული|კოდალა|ყორანი|ბუნება|ფრენა,bird|birds|emu|passenger pigeon|pheasant|quail|fly|sanctuaries|wires|wildlife|eagle|tweet|ostrich|nature|duck|mudflats|nest|twitter|bunting|hopping|messengers|animal
🐧,პინგვინი|ანტარქტიდა|ცივა|მადაგასკარი|ცივი|საყვარელი|ლინუქსი|ყინული|ფრინველი,penguin|bird|antarctica|ice|antarctic|cold|cute|linux
🕊️,მშვიდობა|მტრედი|ხარება|თავისუფლება|მშვიდობა მსოფლიოს|მშვიდობიანი დღე|მშვიდობიანი ცა|ამნისტია|ლოცვა მშვიდობისთვის|ქვეყნის მშვიდობა|წერო|თეთრი მტრედი|სიყვარული|ანგელოზი|გული თეთრი|ნათელი დაადგეს|სამოთხე|სულიერი სიმშვიდე|წყნარი უბანი|თეთრი,dove|peace|hope|fly|olive branch|feathered|feathers|flying|white bird|treaties|pigeon|white|bird|love|peace sign|soul|souls
🦅,არწივი|ფრინველი|ქორი|შავარდენი|თავისუფლება|ამერიკა|კანიონი|ფრენა|მტაცებელი,eagle|bird|gliding|steppe|phoenix|pterodactyl|scavengers|soaring|flying|predator|griffin|handlers|snatching|totems|patriot|usa|birds|feathered|feathers|cliffs|crests|fly|claw|freedom|pinions|precipices|crags|noble
🦆,იხვი|ბატი|ტბა|იხვები|დონალდი|წყალი|ფრინველი,duck|platypus|ponds|pond|marsh|fen|bird|goose|marshes|waterbird|fens|reeds|wetland|wetlands|cartoons|funny|estuaries|quack|poultry|ducts|lake|lakes|water
🦢,გედი|ბატი|სიყვარული|ტბა|სინაზე|ლეიკი|ლამაზი|წყალი,swan|bird|graceful|lake|duck|beautiful|cygnet|ugly duckling|water
🦉,ბუ|სიბრძნე|უძილობა|ღამე|ჭკვიანი|ფრინველი|ჰარი პოტერი,owl|sage|bird|wise|sages|wisdom|roof|tufts|night|birds|feathered|feathers|smart|harry potter
🦤,დოდო|გადაშენებული|ფრინველი,dodo|extinct|mauritius|extinction|bird|large|animal
🪶,მსუბუქი|ბუმბული|წერო|წერა|ფრენა|ჩიტი,feather|shaman|light|native|chief|bark|feathered|feathers|indigenous|medicine man|plumes|pegasus|writing|bird|pinions|goose|pheasant|write|fly|flying|frail|nature|flight|hunting|passenger pigeon|wing|plumage
🦩,ფლამინგო|ვარდისფერი|ჩიტი,flamingo|ostrich|tropical|pink|bird|exotic|flamboyant|beach|fancy
🦚,ფარშევანგი|ფერადი|ლამაზი|კუდი|ამპარტავანი,peacock|colorful|plumes|feathers|bird|proud|ostentatious|fancy|peahen
🦜,თუთიყუში|ფერადი|მეკობრე|ლაპარაკი|ტროპიკები|გამეორება|ჩიტი,parrot|pirate|bird|pirates|colorful|rainforest|repeat|talk|birds|feathered|feathers
🪽,ფრთა|ფრენა|ფრთები|ანგელოზი,wing|fly|angel|feather|angelic|bird|aviation|freedom|flying|mythology
🐦‍⬛,შავი ჩიტი|ყორანი|ყვავი|ედგარ პო,black bird|crow|raven|bird|blackbird|black|spooky|rook
🪿,ბატი|ფრინველი|ხულიგანი ბატი|ბატობა|სულელი|წყალი,goose|honk|bird|silly|farm|fowl|water
🐸,ბაყაყი|წყალი|მწვანე|ნახტომი|კერმიტი|ტვინის დღნა|ჭაობი|ფაქტები|ბაყაყის სახე|ამფიბია,frog|swamp|amphibian|ponds|pond|marsh|bog|swamps|tea|marshes|amphibians|leaping|springy|tadpole|toad|green|jump|jumping|bogs|hopping|funny|frog face|kermit|nature|cute|biologist|biologists|mascots|slime|pepe|face|fml|bouncy|animal|ribbit
🐊,ნიანგი|ჭაობი|ლაკოსტა|ალიგატორი|მტაცებელი,crocodile|swamp|alligator|swamps|reptile|bog|bogs|fen|fens|mangroves|marsh|marshes|mire|quagmire|wetland|wetlands|scaly|slough|handlers|scales|danger|snapping|leathery|tanners|lacoste|murky|reptiles|scary|animal
🐢,კუ|ნელი|ნელა|წყალი|ტორტილა|ჯავშანი,turtle|tortoise|slow|reptile|algae|shelled|shells|reptiles|sea|armored|old|terrapin|shell|hermits|animal
🦎,ხვლიკი|ქამელეონი|რეპტილია|ცხოველი,lizard|reptile|chameleon|gecko|axolotl|iguana|newt|reptiles|salamander|chaparral|amphibian|amphibians|scaly|scales|animal|slime
🐍,გველი|ხოხვა|ცოდვა|ზოდიაქო|საშიში|გრძელი|შური|მოღალატე|ღალატი|შხამიანი|ტოქსიკური|დაქალი|შურიანი|ქვეწარმავალი,snake|reptile|serpent|toxic|anaconda|cobra|eel|moray|python|scaly|slough|viper|chimera|crooked|danger|deceivers|scales|reptiles|traitors|jungle|allegories|envious|poison|traitor|bearer|jealous|ophiuchus|bitch|swallowing|fake friend|zodiac|slither
🐲,დრაკონის თავი|ზღაპარი|დრაკონი|ანიმე|დრაკონის სახე|მითოლოგია,dragon face|dragon|mythical|fantasy|monster|dinosaur|face|china|fairy tale|myth
🐉,დრაკონი|მითოლოგია|ჩინეთი|ლეგენდა|ფენტეზი|დრაკონი მთლიანი|ჩინური,dragon|tales|mythical|legends|china|myths|snake|monster|fiery|fantasy|jade|dungeons|sorcerers|myth|fairy tale|beast|adventuring|battling|questing|scaly|chinese
🦕,დინოზავრი|ზავროპოდი|გიგანტი|ბალახისმჭამელი|დინოზავრი ბალახისმჭამელი|გრძელი კისერი,sauropod|dinosaur|curators|brontosaurus|stegosaurus|triceratops|enormous|gigantic|paleontologist|extinct|huge|museum|exhibit|exhibiting|creature|creatures|brachiosaurus|history|pterodactyl|jurassic|mascots|diplodocus
🦖,დინოზავრი|არქეოლოგია|ტირანოზავრი|მტაცებელი|გვიმრა|დინოზავრი რექსი|მონსტრი,t-rex|dinosaur|enormous|gigantic|paleontologist|raptor|tyrannosaurus|archaeologist|relics|pterodactyl|discoverers|discovering|history|past|remains|monster|tombs|jurassic|monstrous|surviving|survivors|dragon|fossil|scary|destroy|destroyers|volcano|tyrannosaurus rex|extinct
🐳,ვეშაპი|ოკეანე|ვეშაპი წყლის შხეფით|წყლის შესხურება|ვეშაპი წყლით|ვეშაპი წყლის ჭავლით,spouting whale|whaler|whale|sea|whalers|ocean|organisms|giant|blue whale|humpback|water|face|biologist|biologists|cute|spouting
🐋,ვეშაპი|ოკეანე|აკვარიუმი|დიდი|ზღვა,whale|whaler|ocean|mammal|huge|plankton|beluga|blue whale|dugong|humpback|killer whale|manatee|narwhal|orca|whalers|sea|mammals|oceanographers|oceans|whale shark|mammoth|colossal|dolphin|whale2|enormous|immense|animal
🐬,დელფინი|დელფინარიუმი|ზღვა|ჭკვიანი|საყვარელი|წყალი,dolphin|ocean|porpoise|sea|marine|aquarium|smart|oceanographers|oceans|killer whale|orca|swim|flipper|cute|animal
🦭,სელაპი|ოკეანე|წყლის კატა|საყვარელი|ზღვა|ცხოველი,seal|sealer|walrus|sea lion|elephant seal|fur seal|sealers|seals|sea|cute|marine|ocean|animal|water
🐟,თევზი|თევზაობა|თევზის|მდინარე|ზღვის თევზი|თევზები|თინუსი|ზღვა|აკვარიუმი|საკვები|ორაგული|წყალი|ოკეანე,fish|fishmonger|fisherman|cod|tuna|fishing|salmon|fishermen|seafood|bass|carp|catfish|halibut|perch|ray|skate|snapper|stingray|trout|estuaries|aquarium|zodiac|chum|chums|sea|brooks|streams|estuary|ponds|swim|axolotl|creeks|goldfish|guppy|koi|river|rivers|submarine|algae|merman|scaly|pisces|ocean|bony|gasp|food|scales|water
